type,id,x,y,z
corner,NA,-0.167977,0.235867,0.0339364
corner,NA,0.184467,0.229526,0.0340443
corner,NA,0.188427,0.484022,0.0337579
corner,NA,-0.164978,0.486826,0.0348416
spline,0,-0.11505325091267309,0.2724306406737995,0.033990352166219984
spline,0,-0.10470938070599685,0.2722154773653925,0.033990352166219984
spline,0,-0.09436551049932061,0.27200031405698544,0.033990352166219984
spline,0,-0.08402164029264436,0.27178515074857845,0.033990352166219984
spline,0,-0.07367777008596813,0.2715699874401714,0.033990352166219984
spline,0,-0.06333389987929189,0.27135482413176437,0.033990352166219984
spline,0,-0.05299002967261565,0.2711396608233574,0.033990352166219984
spline,0,-0.042646159465939415,0.27092449751495035,0.033990352166219984
spline,0,-0.03230228925926318,0.2707093342065433,0.033990352166219984
spline,0,-0.021958419052586928,0.27049417089813627,0.033990352166219984
spline,0,-0.011614548845910691,0.2702790075897292,0.033990352166219984
spline,0,-0.0012706786392344543,0.27006384428132224,0.033990352166219984
spline,0,0.009073191567441782,0.2698486809729152,0.033990352166219984
spline,0,0.01941706177411802,0.26963351766450816,0.033990352166219984
spline,0,0.029760931980794256,0.2694183543561012,0.033990352166219984
spline,0,0.04010480218747049,0.26920319104769413,0.033990352166219984
spline,0,0.05044867239414673,0.2689880277392871,0.033990352166219984
spline,0,0.060792542600822994,0.26877286443088005,0.033990352166219984
spline,0,0.07113641280749923,0.268557701122473,0.033990352166219984
spline,0,0.08148028301417544,0.26834253781406603,0.033990352166219984
spline,0,0.0918241532208517,0.268127374505659,0.033990352166219984
spline,0,0.10216802342752794,0.26791221119725195,0.033990352166219984
spline,0,0.11251189363420418,0.26769704788884496,0.033990352166219984
spline,0,0.12285576384088041,0.2674818845804379,0.033990352166219984
spline,0,0.13319963404755664,0.2672667212720309,0.033990352166219984
spline,0,0.13319963404755664,0.2672667212720309,0.03390107830217674
spline,0,0.13333682793709992,0.27727064764180925,0.03390107830217674
spline,0,0.1334740218266432,0.2872745740115876,0.03390107830217674
spline,0,0.13361121571618648,0.297278500381366,0.03390107830217674
spline,0,0.13374840960572976,0.30728242675114437,0.03390107830217674
spline,0,0.13388560349527304,0.3172863531209227,0.03390107830217674
spline,0,0.13402279738481632,0.32729027949070105,0.03390107830217674
spline,0,0.1341599912743596,0.3372942058604794,0.03390107830217674
spline,0,0.13429718516390288,0.3472981322302578,0.03390107830217674
spline,0,0.13443437905344613,0.35730205860003617,0.03390107830217674
spline,0,0.1345715729429894,0.36730598496981454,0.03390107830217674
spline,0,0.1347087668325327,0.3773099113395929,0.03390107830217674
spline,0,0.13484596072207597,0.3873138377093712,0.03390107830217674
spline,0,0.13498315461161925,0.39731776407914965,0.03390107830217674
spline,0,0.13512034850116253,0.40732169044892796,0.03390107830217674
spline,0,0.1352575423907058,0.4173256168187064,0.03390107830217674
spline,0,0.1353947362802491,0.4273295431884847,0.03390107830217674
spline,0,0.13553193016979237,0.4373334695582631,0.03390107830217674
spline,0,0.13566912405933565,0.44733739592804145,0.03390107830217674
spline,0,0.13566912405933565,0.44733739592804145,0.03429974025890155
spline,0,0.12529333732243783,0.44742064864617187,0.03429974025890155
spline,0,0.11491755058554,0.4475039013643023,0.03429974025890155
spline,0,0.10454176384864217,0.4475871540824327,0.03429974025890155
spline,0,0.09416597711174435,0.44767040680056314,0.03429974025890155
spline,0,0.08379019037484652,0.44775365951869356,0.03429974025890155
spline,0,0.07341440363794868,0.447836912236824,0.03429974025890155
spline,0,0.06303861690105086,0.4479201649549544,0.03429974025890155
spline,0,0.052662830164153046,0.4480034176730848,0.03429974025890155
spline,0,0.042287043427255214,0.44808667039121525,0.03429974025890155
spline,0,0.03191125669035738,0.44816992310934567,0.03429974025890155
spline,0,0.021535469953459563,0.4482531758274761,0.03429974025890155
spline,0,0.01115968321656173,0.4483364285456065,0.03429974025890155
spline,0,0.0007838964796639258,0.4484196812637369,0.03429974025890155
spline,0,-0.00959189025723392,0.4485029339818673,0.03429974025890155
spline,0,-0.01996767699413174,0.4485861866999977,0.03429974025890155
spline,0,-0.030343463731029557,0.44866943941812815,0.03429974025890155
spline,0,-0.040719250467927404,0.44875269213625857,0.03429974025890155
spline,0,-0.05109503720482522,0.448835944854389,0.03429974025890155
